Book_Title,Book_Url,Author_Name,Author_Url,Book_Cover
Tom Sawyer: A Musical,https://openlibrary.org/works/OL53919W?edition=key%3A/books/OL12233741M,['Mark Twain'],['https://openlibrary.org/authors/OL18319A/Mark_Twain'],https://openlibrary.org/images/icons/avatar_book-sm.png
A Christmas Carol: A Musical,https://openlibrary.org/works/OL8193497W?edition=key%3A/books/OL12233742M,['Charles Dickens'],['https://openlibrary.org/authors/OL24638A/Charles_Dickens'],https://openlibrary.org/images/icons/avatar_book-sm.png
The Last of the Mohicans (Classic Literature with Classical Music),https://openlibrary.org/works/OL77958W?edition=key%3A/books/OL9160855M,['James Fenimore Cooper'],['https://openlibrary.org/authors/OL39524A/James_Fenimore_Cooper'],https://covers.openlibrary.org/b/id/1053051-M.jpg
Uncle Tom's Cabin (Classic Literature with Classical Music),https://openlibrary.org/works/OL152161W?edition=key%3A/books/OL9161196M,['Harriet Beecher Stowe'],['https://openlibrary.org/authors/OL22157A/Harriet_Beecher_Stowe'],https://covers.openlibrary.org/b/id/2294019-M.jpg
"William Shakespeare's A midsummer night's dream: arranged for public reading, with the performance of the Mendelssohn music.",https://openlibrary.org/works/OL259010W?edition=key%3A/books/OL6641761M,"['William Shakespeare', 'Guillermo Macpherson', 'Cristina Navarro Muñoz', 'Eduardo Zamanillo', 'Antoni Laveda', 'Ángel Pareja']","['https://openlibrary.org/authors/OL9388A/William_Shakespeare', 'https://openlibrary.org/authors/OL9949603A/Guillermo_Macpherson', 'https://openlibrary.org/authors/OL12537200A/Cristina_Navarro_Muñoz', 'https://openlibrary.org/authors/OL12542208A/Eduardo_Zamanillo', 'https://openlibrary.org/authors/OL10718647A/Antoni_Laveda', 'https://openlibrary.org/authors/OL12552528A/Ángel_Pareja']",https://openlibrary.org/images/icons/avatar_book-sm.png
The Wizard of Oz:  The Illustrated Vocal Score of the 1903 Musical Extravaganza,https://openlibrary.org/works/OL18417W?edition=key%3A/books/OL12299702M,['L. Frank Baum'],['https://openlibrary.org/authors/OL9348793A/L._Frank_Baum'],https://openlibrary.org/images/icons/avatar_book-sm.png
Frankenstein (Classic Literature with Classical Music),https://openlibrary.org/works/OL450063W?edition=key%3A/books/OL9160800M,['Mary Wollstonecraft Shelley'],['https://openlibrary.org/authors/OL25342A/Mary_Wollstonecraft_Shelley'],https://covers.openlibrary.org/b/id/1053001-M.jpg
Through the Looking-Glass and What Alice Found There (Classic Literature With Classical Music. Junior Classics),https://openlibrary.org/works/OL151406W?edition=key%3A/books/OL9160889M,['Lewis Carroll'],['https://openlibrary.org/authors/OL22098A/Lewis_Carroll'],https://covers.openlibrary.org/b/id/2293872-M.jpg
A Tale of Two Cities (Classic Literature with Classical Music),https://openlibrary.org/works/OL8193465W?edition=key%3A/books/OL9160834M,['Charles Dickens'],['https://openlibrary.org/authors/OL24638A/Charles_Dickens'],https://covers.openlibrary.org/b/id/1053033-M.jpg
Por quién doblan las campanas,https://openlibrary.org/works/OL63009W?edition=key%3A/books/OL13071199M,['Ernest Hemingway'],['https://openlibrary.org/authors/OL13640A/Ernest_Hemingway'],https://openlibrary.org/images/icons/avatar_book-sm.png
"Hamlet, Prince of Denmark",https://openlibrary.org/works/OL9170454W?edition=key%3A/books/OL26909332M,['William Shakespeare'],['https://openlibrary.org/authors/OL9388A/William_Shakespeare'],https://openlibrary.org/images/icons/avatar_book-sm.png
Adios a Las Armas / a Farewell to Arms,https://openlibrary.org/works/OL63072W?edition=key%3A/books/OL13071209M,['Ernest Hemingway'],['https://openlibrary.org/authors/OL13640A/Ernest_Hemingway'],https://openlibrary.org/images/icons/avatar_book-sm.png
The Iliad (Classic Literature with Classical Music),https://openlibrary.org/works/OL61981W?edition=key%3A/books/OL9160838M,['Όμηρος'],['https://openlibrary.org/authors/OL18404A/Όμηρος'],https://covers.openlibrary.org/b/id/1053036-M.jpg
Alice's Adventures in Wonderland (Classic Literature with Classical Music),https://openlibrary.org/works/OL138052W?edition=key%3A/books/OL9161061M,['Lewis Carroll'],['https://openlibrary.org/authors/OL22098A/Lewis_Carroll'],https://covers.openlibrary.org/b/id/1053220-M.jpg
